G121RITO;1;1;2;3;3;4;1;4;2;3;1;1;1;5;3;3;2;5;3;1;5;4;5;3;2;1;4;5;1;4;5;3;2;3;1;4;3;3;2;1;2;1;4;2;1;4;1;4;1;3;4;1;4;1;1;2;5;1;3;1;1;5;3;4;1;2;5;4;2;3;1;4;1;5;1;2;4;5;3;3;5;5;4;3;4;1;2;3;5;2;4;2;4;5;2
01717532;1;1;2;3;3;NA;NA;NA;NA;NA;1;1;1;5;3;3;2;5;3;1;5;4;1;3;2;1;4;5;2;4;4;3;2;3;1;1;3;3;2;3;2;1;1;2;1;4;1;4;4;3;4;1;2;1;1;3;5;1;3;1;2;2;4;4;1;2;5;4;2;3;1;3;1;5;1;2;4;5;3;1;5;5;2;1;4;1;2;3;2;2;4;2;4;5;2
01600014;1;1;2;3;2;NA;NA;NA;NA;NA;1;1;1;5;4;3;1;2;1;1;5;1;5;3;1;1;4;5;4;4;3;3;2;3;2;4;3;2;4;1;3;1;1;3;1;4;1;4;1;3;1;5;2;4;4;1;5;1;3;1;4;2;2;4;5;5;5;1;2;3;4;2;1;5;1;1;4;2;4;4;1;2;3;2;1;2;3;3;5;2;4;1;1;5;1
21717532;2;1;2;2;4;NA;NA;NA;NA;NA;1;1;1;5;4;3;4;4;5;1;5;3;4;1;1;1;5;1;3;4;5;1;1;2;4;5;1;2;2;5;3;1;1;5;1;4;2;1;1;4;1;4;4;4;1;1;5;1;2;5;1;1;5;1;3;1;1;4;2;4;1;4;4;3;3;4;5;1;1;1;4;5;1;1;2;5;5;1;5;5;2;5;4;5;1
21400101;NA;NA;NA;NA;NA;1;1;4;2;3;1;1;1;4;3;3;1;2;2;1;5;4;5;2;2;1;5;3;2;1;2;4;2;3;2;1;3;1;4;3;3;1;5;2;1;4;3;4;4;3;4;5;3;1;2;3;5;1;3;1;1;5;3;4;1;2;5;4;2;3;4;4;1;5;1;2;4;3;1;1;4;1;3;5;1;3;1;3;5;2;1;2;2;5;2
1NA301218;NA;NA;NA;NA;NA;4;1;4;2;1;1;1;1;3;4;3;2;2;3;1;5;4;1;3;2;1;4;5;3;1;3;3;2;3;2;4;3;3;2;3;2;1;4;1;1;4;1;4;1;3;4;5;3;1;1;3;5;1;3;1;4;5;3;4;1;2;5;4;2;1;4;4;2;5;1;2;4;5;3;4;4;5;1;5;2;3;2;3;5;2;4;2;4;5;2
1NA30120NA;NA;NA;NA;NA;NA;4;1;4;2;5;2;1;1;1;4;3;2;2;3;1;5;2;5;2;4;5;4;5;2;4;4;2;2;3;4;1;3;3;2;1;2;1;5;3;1;5;1;1;1;3;1;1;3;1;2;2;5;1;2;1;5;5;3;4;1;3;5;4;2;3;5;3;2;5;1;2;4;2;3;2;5;4;3;1;4;3;1;1;3;2;1;2;4;2;2
01NA23NA63;1;5;2;3;3;NA;NA;NA;NA;NA;1;1;1;5;3;3;2;5;2;2;5;4;1;3;2;2;4;5;5;4;5;5;2;3;1;4;3;1;2;1;3;1;4;1;1;2;1;4;1;3;5;1;3;5;2;3;5;1;4;5;1;2;3;1;3;1;5;4;3;3;1;3;1;5;1;5;4;5;3;3;1;3;5;1;1;3;1;1;5;2;4;2;1;5;2
01NA23NA61;NA;NA;NA;NA;NA;1;1;4;2;5;1;1;1;NA;4;3;2;2;2;1;5;4;5;3;1;1;4;5;1;1;3;2;2;3;1;4;3;3;1;NA;3;NA;5;2;1;4;NA;4;1;3;2;1;4;1;2;1;5;1;3;1;1;5;3;4;1;2;5;4;2;3;5;3;3;5;1;2;4;5;3;2;5;2;1;3;1;5;1;3;5;3;1;2;4;3;2
01NA23NA55;NA;NA;NA;NA;NA;4;1;4;2;3;1;1;1;5;2;3;2;5;2;1;5;1;5;2;2;1;4;5;2;4;5;3;2;3;1;4;3;3;4;3;2;1;4;1;1;4;2;4;4;3;2;1;2;1;1;1;5;1;4;1;1;5;3;4;1;2;5;4;2;3;5;3;3;1;1;1;4;2;3;3;5;4;1;1;4;1;1;5;5;3;4;2;4;5;5
